site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
MA20.2,A,1,2003-07-14,12:35:00,Zostera marina,25,0,0,0,4,15,true
MA20.2,A,2,2003-07-14,12:35:00,Zostera marina,5,0,0,0,3,17,true
MA20.2,A,3,2003-07-14,12:35:00,Zostera marina,35,0,0,0,3,18,true
MA20.2,A,4,2003-07-14,12:35:00,Zostera marina,40,0,0,0,3,18,true
MA20.2,A,5,2003-07-14,12:35:00,Zostera marina,20,0,0,0,3,16,true
MA20.2,A,6,2003-07-14,12:35:00,Zostera marina,100,0,0,0,20,28,true
MA20.2,A,7,2003-07-14,12:35:00,Zostera marina,90,0,0,0,9,23,true
MA20.2,A,8,2003-07-14,12:35:00,Zostera marina,75,0,0,0,10,22,true
MA20.2,A,9,2003-07-14,12:35:00,Zostera marina,85,0,0,0,13,24,true
MA20.2,A,10,2003-07-14,12:35:00,Zostera marina,60,0,0,0,6,25,true
MA20.2,A,11,2003-07-14,12:35:00,Zostera marina,50,0,0,0,6,22,false
MA20.2,A,12,2003-07-14,12:35:00,Zostera marina,20,0,0,0,1,19,false
MA20.2,C,1,2003-07-14,12:10:00,Zostera marina,2,0,0,0,3,34,true
MA20.2,C,2,2003-07-14,12:10:00,Zostera marina,60,0,0,0,3,47,true
MA20.2,C,3,2003-07-14,12:10:00,Zostera marina,75,0,0,0,1,60,true
MA20.2,C,4,2003-07-14,12:10:00,Zostera marina,30,0,0,0,2,68,true
MA20.2,C,5,2003-07-14,12:10:00,Zostera marina,80,0,0,0,7,70,true
MA20.2,C,6,2003-07-14,12:10:00,Zostera marina,95,0,0,0,5,76,true
MA20.2,C,7,2003-07-14,12:10:00,Zostera marina,10,0,0,0,1,80,true
MA20.2,C,8,2003-07-14,12:10:00,Zostera marina,100,0,0,0,2,83,true
MA20.2,C,9,2003-07-14,12:10:00,Zostera marina,80,0,0,0,1,96,true
MA20.2,C,10,2003-07-14,12:10:00,Zostera marina,100,0,0,0,4,100,true
MA20.2,C,11,2003-07-14,12:10:00,Zostera marina,95,0,0,0,1,110,false
MA20.2,C,12,2003-07-14,12:10:00,Zostera marina,100,0,0,0,2,105,false
MA20.2,B,1,2003-07-16,09:00:00,Zostera marina,60,136,0,0,2,40,false
MA20.2,B,2,2003-07-16,09:00:00,Zostera marina,85,196,0,0,0,40,false
MA20.2,B,3,2003-07-16,09:00:00,Zostera marina,60,96,0,0,4,35,false
MA20.2,B,4,2003-07-16,09:00:00,Zostera marina,100,192,0,0,15,55,false
MA20.2,B,5,2003-07-16,09:00:00,Zostera marina,80,168,0,0,3,44,false
MA20.2,B,6,2003-07-16,09:00:00,Zostera marina,50,252,0,0,2,35,false
MA20.2,B,7,2003-07-16,09:00:00,Zostera marina,60,116,0,0,2,40,false
MA20.2,B,8,2003-07-16,09:00:00,Zostera marina,100,248,0,0,8,48,false
MA20.2,B,9,2003-07-16,09:00:00,Zostera marina,80,132,0,0,7,44,false
MA20.2,B,10,2003-07-16,09:00:00,Zostera marina,85,228,0,0,4,45,false
MA20.2,B,11,2003-07-16,09:00:00,Zostera marina,80,208,0,0,2,44,false
MA20.2,B,12,2003-07-16,09:00:00,Zostera marina,95,328,0,0,5,40,false
MA20.2,A,1,2003-10-30,09:00:00,Zostera marina,100,104,0,0,12,29,false
MA20.2,A,1,2003-10-30,09:00:00,Zostera marina,100,104,0,0,12,29,false
MA20.2,A,2,2003-10-30,09:00:00,Zostera marina,5,12,0,0,3,25,false
MA20.2,A,2,2003-10-30,09:00:00,Zostera marina,5,12,0,0,3,25,false
MA20.2,A,3,2003-10-30,09:00:00,Zostera marina,80,208,0,0,4,32,false
MA20.2,A,3,2003-10-30,09:00:00,Zostera marina,80,208,0,0,4,32,false
MA20.2,A,4,2003-10-30,09:00:00,Zostera marina,100,132,0,0,16,31,false
MA20.2,A,4,2003-10-30,09:00:00,Zostera marina,100,132,0,0,16,31,false
MA20.2,A,5,2003-10-30,09:00:00,Zostera marina,75,104,0,0,8,25,false
MA20.2,A,5,2003-10-30,09:00:00,Zostera marina,75,104,0,0,8,25,false
MA20.2,A,6,2003-10-30,09:00:00,Zostera marina,95,352,0,0,11,27,false
MA20.2,A,6,2003-10-30,09:00:00,Zostera marina,95,352,0,0,11,27,false
MA20.2,A,7,2003-10-30,09:00:00,Zostera marina,100,368,0,0,9,36,false
MA20.2,A,7,2003-10-30,09:00:00,Zostera marina,100,368,0,0,9,36,false
MA20.2,A,8,2003-10-30,09:00:00,Zostera marina,80,204,0,0,23,44,false
MA20.2,A,8,2003-10-30,09:00:00,Zostera marina,80,204,0,0,23,44,false
MA20.2,A,9,2003-10-30,09:00:00,Zostera marina,100,308,0,0,9,37,false
MA20.2,A,9,2003-10-30,09:00:00,Zostera marina,100,308,0,0,9,37,false
