site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
MS45.1,A,1,2008-04-16,10:00:00,Zostera marina,40,19,0,0,5,40,false
MS45.1,A,1,2008-04-16,10:00:00,Zostera marina,40,19,0,0,5,40,false
MS45.1,A,1,2008-04-16,09:17:00,Zostera marina,40,9,0,0,0,40,false
MS45.1,A,1,2008-04-16,10:00:00,Zostera marina,40,19,0,0,0,40,false
MS45.1,A,2,2008-04-16,10:00:00,Zostera marina,30,27,0,0,2,30,false
MS45.1,A,2,2008-04-16,10:00:00,Zostera marina,30,27,0,0,0,30,false
MS45.1,A,2,2008-04-16,10:00:00,Zostera marina,30,27,0,0,2,30,false
MS45.1,A,2,2008-04-16,09:17:00,Zostera marina,30,27,0,0,0,30,
MS45.1,A,3,2008-04-16,09:17:00,Zostera marina,30,14,0,0,0,30,
MS45.1,A,3,2008-04-16,10:00:00,Zostera marina,30,14,0,0,0,30,false
MS45.1,A,3,2008-04-16,10:00:00,Zostera marina,30,14,0,0,2,30,false
MS45.1,A,3,2008-04-16,10:00:00,Zostera marina,30,14,0,0,2,30,false
MS45.1,A,4,2008-04-16,10:00:00,Zostera marina,30,14,0,0,3,20,false
MS45.1,A,4,2008-04-16,09:17:00,Zostera marina,30,14,0,0,0,20,
MS45.1,A,4,2008-04-16,10:00:00,Zostera marina,30,14,0,0,0,20,false
MS45.1,A,4,2008-04-16,10:00:00,Zostera marina,30,25,0,0,3,20,false
MS45.1,A,5,2008-04-16,10:00:00,Zostera marina,25,10,0,0,2,30,false
MS45.1,A,5,2008-04-16,10:00:00,Zostera marina,25,10,0,0,0,30,false
MS45.1,A,5,2008-04-16,10:00:00,Zostera marina,25,10,0,0,2,30,false
MS45.1,A,5,2008-04-16,09:17:00,Zostera marina,25,10,0,0,0,30,
MS45.1,A,6,2008-04-16,09:17:00,Zostera marina,30,7,0,0,0,35,
MS45.1,A,6,2008-04-16,10:00:00,Zostera marina,30,7,0,0,0,35,false
MS45.1,A,6,2008-04-16,10:00:00,Zostera marina,30,7,0,0,4,35,false
MS45.1,A,6,2008-04-16,10:00:00,Zostera marina,30,0,0,0,4,35,false
MS45.1,A,7,2008-04-16,10:00:00,Zostera marina,25,11,0,0,0,50,false
MS45.1,A,7,2008-04-16,09:17:00,Zostera marina,25,11,0,0,0,50,
MS45.1,A,7,2008-04-16,10:00:00,Zostera marina,25,11,0,0,6,50,false
MS45.1,A,7,2008-04-16,10:00:00,Zostera marina,25,11,0,0,6,50,false
MS45.1,A,8,2008-04-16,09:17:00,Zostera marina,20,11,0,0,0,35,
MS45.1,A,8,2008-04-16,10:00:00,Zostera marina,20,11,0,0,7,35,false
