site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
NH9.2,A,5,2007-08-02,00:00:00,Ruppia maritima,35,0,0,0,6,18,false
NH9.2,A,9,2007-08-02,00:00:00,Ruppia maritima,15,0,7,0,0,45,false
NH9.2,A,10,2007-08-02,00:00:00,Ruppia maritima,0,0,0,0,3,48,false
NH9.2,A,1,2007-08-02,00:00:00,Zostera marina,2,0,0,0,0,20,false
NH9.2,A,2,2007-08-02,00:00:00,Zostera marina,30,8,3,0,1,55,false
NH9.2,A,3,2007-08-02,00:00:00,Zostera marina,45,10,3,0,1,37,false
NH9.2,A,4,2007-08-02,00:00:00,Zostera marina,80,22,4,0,6,45,false
NH9.2,A,5,2007-08-02,00:00:00,Zostera marina,15,8,3,0,2,18,false
NH9.2,A,6,2007-08-02,00:00:00,Zostera marina,75,23,10,0,3,42,false
NH9.2,A,7,2007-08-02,00:00:00,Zostera marina,40,19,8,0,4,42,false
NH9.2,A,8,2007-08-02,00:00:00,Zostera marina,75,15,3,0,4,55,false
NH9.2,A,9,2007-08-02,00:00:00,Zostera marina,65,13,7,0,5,45,false
NH9.2,A,10,2007-08-02,00:00:00,Zostera marina,50,4,1,0,6,48,false
NH9.2,A,11,2007-08-02,00:00:00,Zostera marina,15,0,0,0,3,55,false
NH9.2,A,12,2007-08-02,00:00:00,Zostera marina,20,0,0,0,3,45,false
NH9.2,B,1,2007-08-03,00:00:00,Zostera marina,75,13,2,0,1,54,false
NH9.2,B,2,2007-08-03,00:00:00,Zostera marina,60,10,0,0,6,49,false
NH9.2,B,3,2007-08-03,00:00:00,Zostera marina,20,3,0,0,1,48,false
NH9.2,B,4,2007-08-03,00:00:00,Zostera marina,20,12,1,0,6,42,false
NH9.2,B,5,2007-08-03,00:00:00,Zostera marina,25,25,0,0,2,48,false
NH9.2,B,6,2007-08-03,00:00:00,Zostera marina,50,21,1,0,4,54,false
NH9.2,B,7,2007-08-03,00:00:00,Zostera marina,15,31,1,0,1,35,false
NH9.2,B,8,2007-08-03,00:00:00,Zostera marina,20,21,0,0,2,59,false
NH9.2,B,9,2007-08-03,00:00:00,Zostera marina,60,22,0,0,2,40,false
NH9.2,B,10,2007-08-03,00:00:00,Zostera marina,70,18,1,0,4,45,false
NH9.2,B,11,2007-08-03,00:00:00,Zostera marina,65,36,4,0,3,45,false
NH9.2,B,12,2007-08-03,00:00:00,Zostera marina,40,23,0,0,5,52,false
NH9.2,C,1,2007-08-03,00:00:00,Zostera marina,35,10,0,0,8,56,false
NH9.2,C,2,2007-08-03,00:00:00,Zostera marina,20,15,2,0,6,49,false
NH9.2,C,3,2007-08-03,00:00:00,Zostera marina,15,4,0,0,3,50,false
NH9.2,C,4,2007-08-03,00:00:00,Zostera marina,15,2,0,0,2,45,false
NH9.2,C,5,2007-08-03,00:00:00,Zostera marina,8,7,0,0,3,41,false
NH9.2,C,6,2007-08-03,00:00:00,Zostera marina,15,9,0,0,3,37,false
NH9.2,C,7,2007-08-03,00:00:00,Zostera marina,10,3,0,0,1,31,false
NH9.2,C,8,2007-08-03,00:00:00,Zostera marina,10,9,0,0,0,34,false
NH9.2,C,9,2007-08-03,00:00:00,Zostera marina,30,4,0,0,2,36,false
NH9.2,C,10,2007-08-03,00:00:00,Zostera marina,10,14,0,0,3,40,false
NH9.2,C,11,2007-08-03,00:00:00,Zostera marina,5,3,0,0,2,48,false
NH9.2,C,12,2007-08-03,00:00:00,Zostera marina,20,1,0,0,5,41,false
NH9.2,A,5,2007-10-26,00:00:00,Ruppia maritima,5,0,0,0,1,12,false
NH9.2,A,1,2007-10-26,00:00:00,Zostera marina,25,0,0,0,3,24,false
NH9.2,A,2,2007-10-26,00:00:00,Zostera marina,35,27,0,0,3,43,false
NH9.2,A,3,2007-10-26,00:00:00,Zostera marina,60,26,0,0,2,13,false
NH9.2,A,4,2007-10-26,00:00:00,Zostera marina,70,23,0,0,3,35,false
NH9.2,A,5,2007-10-26,00:00:00,Zostera marina,15,5,0,0,3,12,false
NH9.2,A,6,2007-10-26,00:00:00,Zostera marina,5,23,0,0,5,34,false
