site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
NY41.1,A,1,2007-07-26,09:04:00,Ruppia maritima,100,0,0,0,0,9,false
NY41.1,A,2,2007-07-26,09:04:00,Ruppia maritima,50,0,0,0,0,13,false
NY41.1,A,3,2007-07-26,09:04:00,Ruppia maritima,15,0,0,0,0,17,false
NY41.1,A,4,2007-07-26,09:04:00,Ruppia maritima,60,0,0,0,0,15,false
NY41.1,A,5,2007-07-26,09:04:00,Ruppia maritima,20,0,0,0,0,17,false
NY41.1,A,6,2007-07-26,09:04:00,Ruppia maritima,20,0,0,0,0,8,false
NY41.1,A,7,2007-07-26,09:04:00,Ruppia maritima,40,0,0,0,0,15,false
NY41.1,A,8,2007-07-26,09:04:00,Ruppia maritima,20,0,0,0,0,6,false
NY41.1,A,9,2007-07-26,09:04:00,Ruppia maritima,70,0,0,0,0,6,false
NY41.1,A,10,2007-07-26,09:04:00,Ruppia maritima,90,0,0,0,0,10,false
NY41.1,A,11,2007-07-26,09:04:00,Ruppia maritima,70,0,0,0,0,12,false
NY41.1,A,12,2007-07-26,09:04:00,Ruppia maritima,30,0,0,0,0,14,false
NY41.1,A,2,2007-07-26,09:04:00,Zostera marina,50,32,0,0,1,13,false
NY41.1,A,3,2007-07-26,09:04:00,Zostera marina,85,44,0,0,5,17,false
NY41.1,A,4,2007-07-26,09:04:00,Zostera marina,40,40,0,0,0,15,false
NY41.1,A,5,2007-07-26,09:04:00,Zostera marina,70,28,0,0,1,17,false
NY41.1,A,8,2007-07-26,09:04:00,Zostera marina,5,0,0,0,0,6,false
NY41.1,A,10,2007-07-26,09:04:00,Zostera marina,10,4,0,0,0,10,false
NY41.1,A,11,2007-07-26,09:04:00,Zostera marina,30,40,0,0,0,12,false
NY41.1,A,12,2007-07-26,09:04:00,Zostera marina,70,48,0,0,3,14,false
NY41.1,B,1,2007-07-26,10:08:00,Ruppia maritima,49,0,0,0,0,8,false
NY41.1,B,2,2007-07-26,10:08:00,Ruppia maritima,64,0,0,0,0,9,true
NY41.1,B,3,2007-07-26,10:08:00,Ruppia maritima,15,0,0,0,0,6,true
NY41.1,B,4,2007-07-26,10:08:00,Ruppia maritima,59,0,0,0,0,13,false
NY41.1,B,5,2007-07-26,10:08:00,Ruppia maritima,30,0,0,0,0,10,false
NY41.1,B,6,2007-07-26,10:08:00,Ruppia maritima,80,0,0,0,0,8,false
NY41.1,B,7,2007-07-26,10:08:00,Ruppia maritima,70,0,0,0,0,9,false
NY41.1,B,8,2007-07-26,10:08:00,Ruppia maritima,5,0,0,0,0,6,false
NY41.1,B,9,2007-07-26,10:08:00,Ruppia maritima,20,0,0,0,0,11,false
NY41.1,B,10,2007-07-26,10:08:00,Ruppia maritima,60,0,0,0,0,10,false
NY41.1,B,11,2007-07-26,10:08:00,Ruppia maritima,67,0,0,0,0,6,false
NY41.1,B,12,2007-07-26,10:08:00,Ruppia maritima,75,0,0,0,0,5,false
NY41.1,B,1,2007-07-26,10:08:00,Zostera marina,1,40,0,0,0,8,false
NY41.1,B,2,2007-07-26,10:08:00,Zostera marina,1,0,0,0,0,9,true
NY41.1,B,3,2007-07-26,10:08:00,Zostera marina,15,12,0,0,0,6,true
NY41.1,B,4,2007-07-26,10:08:00,Zostera marina,1,8,0,0,0,13,false
NY41.1,B,5,2007-07-26,10:08:00,Zostera marina,40,20,0,0,4,10,false
NY41.1,B,6,2007-07-26,10:08:00,Zostera marina,10,8,0,0,4,8,false
NY41.1,B,8,2007-07-26,10:08:00,Zostera marina,5,4,0,0,1,6,false
NY41.1,B,9,2007-07-26,10:08:00,Zostera marina,20,8,0,0,1,11,false
NY41.1,B,10,2007-07-26,10:08:00,Zostera marina,5,4,0,0,4,10,false
NY41.1,B,11,2007-07-26,10:08:00,Zostera marina,3,0,0,0,0,6,false
NY41.1,C,2,2007-07-26,12:05:00,Ruppia maritima,45,0,0,0,0,20,false
NY41.1,C,3,2007-07-26,12:05:00,Ruppia maritima,40,0,0,0,0,9,false
NY41.1,C,4,2007-07-26,12:05:00,Ruppia maritima,10,0,0,0,0,14,false
NY41.1,C,5,2007-07-26,12:05:00,Ruppia maritima,5,0,0,0,0,5,false
NY41.1,C,6,2007-07-26,12:05:00,Ruppia maritima,5,0,0,0,0,14,false
NY41.1,C,7,2007-07-26,12:05:00,Ruppia maritima,10,0,0,0,0,22,false
NY41.1,C,11,2007-07-26,12:05:00,Ruppia maritima,5,0,0,0,0,16,false
NY41.1,C,12,2007-07-26,12:05:00,Ruppia maritima,95,0,0,0,0,3,false
NY41.1,C,1,2007-07-26,12:05:00,Zostera marina,50,20,0,0,1,13,false
NY41.1,C,2,2007-07-26,12:05:00,Zostera marina,35,20,0,0,3,20,false
