site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
RN31.1,A,1,2005-07-26,10:00:00,Zostera marina,55,14,2,0,0,54,true
RN31.1,A,2,2005-07-26,10:00:00,Zostera marina,5,5,1,0,0,19,true
RN31.1,A,3,2005-07-26,10:00:00,Zostera marina,10,9,0,0,0,67,false
RN31.1,A,4,2005-07-26,10:00:00,Zostera marina,85,22,0,0,0,79,false
RN31.1,A,5,2005-07-26,10:00:00,Zostera marina,10,7,0,0,0,33,false
RN31.1,A,6,2005-07-26,10:00:00,Zostera marina,5,6,1,0,0,37,true
RN31.1,A,7,2005-07-26,10:00:00,Zostera marina,20,5,2,0,0,30,false
RN31.1,A,8,2005-07-26,10:00:00,Zostera marina,50,15,3,0,0,35,false
RN31.1,A,9,2005-07-26,10:00:00,Zostera marina,60,17,2,0,0,50,false
RN31.1,A,10,2005-07-26,10:00:00,Zostera marina,80,28,1,0,0,61,false
RN31.1,A,11,2005-07-26,10:00:00,Zostera marina,65,16,0,0,0,41,false
RN31.1,A,12,2005-07-26,10:00:00,Zostera marina,60,18,2,0,0,56,false
RN31.1,B,1,2005-07-27,10:00:00,Zostera marina,80,24,1,0,0,43,false
RN31.1,B,2,2005-07-27,10:00:00,Zostera marina,45,17,1,0,0,71,false
RN31.1,B,3,2005-07-27,10:00:00,Zostera marina,20,7,1,0,0,75,false
RN31.1,B,4,2005-07-27,10:00:00,Zostera marina,30,13,1,0,0,45,false
RN31.1,B,5,2005-07-27,10:00:00,Zostera marina,70,21,1,0,0,88,false
RN31.1,B,6,2005-07-27,10:00:00,Zostera marina,85,23,0,0,0,93,false
RN31.1,B,7,2005-07-27,10:00:00,Zostera marina,15,8,0,0,0,82,false
RN31.1,B,8,2005-07-27,10:00:00,Zostera marina,30,12,1,0,0,62,false
RN31.1,B,9,2005-07-27,10:00:00,Zostera marina,100,20,1,0,0,120,false
RN31.1,B,10,2005-07-27,10:00:00,Zostera marina,80,18,2,0,0,84,false
RN31.1,B,11,2005-07-27,10:00:00,Zostera marina,100,21,1,0,0,90,true
RN31.1,B,12,2005-07-27,10:00:00,Zostera marina,100,19,1,0,0,146,true
RN31.1,C,1,2005-07-27,10:00:00,Zostera marina,100,14,1,0,0,119,false
RN31.1,C,2,2005-07-27,10:00:00,Zostera marina,100,17,1,0,0,116,false
RN31.1,C,3,2005-07-27,10:00:00,Zostera marina,100,17,2,0,0,115,false
RN31.1,C,4,2005-07-27,10:00:00,Zostera marina,10,5,0,0,0,76,false
RN31.1,C,6,2005-07-27,10:00:00,Zostera marina,5,3,0,0,0,104,true
RN31.1,C,7,2005-07-27,10:00:00,Zostera marina,30,13,0,0,0,52,true
RN31.1,C,8,2005-07-27,10:00:00,Zostera marina,25,12,1,0,0,96,true
RN31.1,C,9,2005-07-27,10:00:00,Zostera marina,25,11,1,0,0,85,true
RN31.1,C,10,2005-07-27,10:00:00,Zostera marina,30,13,1,0,0,49,true
