"location","seagrassnet_sitecode","transect","quadrat","species","date_sampling","month","day","year","time","percent_cover","prior_yr_mean_daily_mean_temp","prior_yr_min_daily_mean_temp","prior_yr_max_daily_mean_temp","prior_yr_q1_daily_mean_temp","prior_yr_q3_daily_mean_temp","period_avg_mean_daily_mean_temp"
"Duck Harbor Beach","MA20.1","A",1,"ZM",2003-07-15,7,15,2003,"08:45:00",95,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",2,"ZM",2003-07-15,7,15,2003,"08:45:00",95,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",3,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",4,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",5,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",6,"ZM",2003-07-15,7,15,2003,"08:45:00",45,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",7,"ZM",2003-07-15,7,15,2003,"08:45:00",0,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",8,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",9,"ZM",2003-07-15,7,15,2003,"08:45:00",90,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",10,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",11,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
"Duck Harbor Beach","MA20.1","A",12,"ZM",2003-07-15,7,15,2003,"08:45:00",100,NA,NA,NA,NA,NA,20.7292723093938
