site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
MA20.1,A,1,2003-07-15,08:45:00,Zostera marina,95,0,0,0,4,25,false
MA20.1,A,2,2003-07-15,08:45:00,Zostera marina,95,0,0,0,3,24,false
MA20.1,A,3,2003-07-15,08:45:00,Zostera marina,100,0,0,0,3,28,false
MA20.1,A,4,2003-07-15,08:45:00,Zostera marina,100,0,0,0,6,40,false
MA20.1,A,5,2003-07-15,08:45:00,Zostera marina,100,0,0,0,4,29,false
MA20.1,A,6,2003-07-15,08:45:00,Zostera marina,45,0,0,0,4,26,false
MA20.1,A,8,2003-07-15,08:45:00,Zostera marina,100,0,0,0,10,30,false
MA20.1,A,9,2003-07-15,08:45:00,Zostera marina,90,0,0,0,13,18,false
MA20.1,A,10,2003-07-15,08:45:00,Zostera marina,100,0,0,0,7,20,false
MA20.1,A,11,2003-07-15,08:45:00,Zostera marina,100,0,0,0,9,20,false
MA20.1,A,12,2003-07-15,08:45:00,Zostera marina,100,0,0,0,5,18,false
MA20.1,C,1,2003-07-15,06:30:00,Zostera marina,45,0,0,0,2,20,false
MA20.1,C,1,2003-07-15,,Zostera marina,45,0,0,0,2,20,false
MA20.1,C,1,2003-07-15,,Zostera marina,45,0,0,0,2,20,false
MA20.1,C,2,2003-07-15,,Zostera marina,80,0,0,0,4,23,false
MA20.1,C,2,2003-07-15,,Zostera marina,80,0,0,0,4,23,false
MA20.1,C,2,2003-07-15,06:30:00,Zostera marina,80,0,0,0,4,23,false
MA20.1,C,3,2003-07-15,06:30:00,Zostera marina,100,0,0,0,8,38,false
MA20.1,C,3,2003-07-15,,Zostera marina,100,0,0,0,8,38,false
MA20.1,C,3,2003-07-15,,Zostera marina,100,0,0,0,8,38,false
MA20.1,C,4,2003-07-15,,Zostera marina,100,0,0,0,6,35,false
MA20.1,C,4,2003-07-15,06:30:00,Zostera marina,100,0,0,0,6,35,false
MA20.1,C,4,2003-07-15,,Zostera marina,100,0,0,0,6,35,false
MA20.1,C,5,2003-07-15,,Zostera marina,100,0,0,0,6,37,false
MA20.1,C,5,2003-07-15,,Zostera marina,100,0,0,0,6,37,false
MA20.1,C,5,2003-07-15,06:30:00,Zostera marina,100,0,0,0,6,37,false
MA20.1,C,6,2003-07-15,,Zostera marina,100,0,0,0,5,33,false
MA20.1,C,6,2003-07-15,,Zostera marina,100,0,0,0,5,33,false
MA20.1,C,6,2003-07-15,06:30:00,Zostera marina,100,0,0,0,5,33,false
MA20.1,C,7,2003-07-15,,Zostera marina,80,0,0,0,6,32,false
MA20.1,C,7,2003-07-15,06:30:00,Zostera marina,80,0,0,0,6,32,false
MA20.1,C,7,2003-07-15,,Zostera marina,80,0,0,0,6,32,false
MA20.1,C,8,2003-07-15,,Zostera marina,100,0,0,0,6,40,false
MA20.1,C,8,2003-07-15,,Zostera marina,100,0,0,0,6,40,false
MA20.1,C,8,2003-07-15,06:30:00,Zostera marina,100,0,0,0,6,40,false
MA20.1,C,9,2003-07-15,,Zostera marina,100,0,0,0,6,36,false
MA20.1,C,9,2003-07-15,,Zostera marina,100,0,0,0,6,36,false
MA20.1,C,9,2003-07-15,06:30:00,Zostera marina,100,0,0,0,6,36,false
MA20.1,C,10,2003-07-15,,Zostera marina,100,0,0,0,7,28,false
MA20.1,C,10,2003-07-15,06:30:00,Zostera marina,100,0,0,0,7,28,false
MA20.1,C,10,2003-07-15,,Zostera marina,100,0,0,0,7,28,false
MA20.1,C,11,2003-07-15,06:30:00,Zostera marina,50,0,0,0,1,26,false
MA20.1,C,11,2003-07-15,,Zostera marina,50,0,0,0,1,26,false
MA20.1,C,11,2003-07-15,,Zostera marina,50,0,0,0,1,26,false
MA20.1,C,12,2003-07-15,,Zostera marina,25,0,0,0,1,22,false
MA20.1,C,12,2003-07-15,06:30:00,Zostera marina,25,0,0,0,1,22,false
MA20.1,C,12,2003-07-15,,Zostera marina,25,0,0,0,1,22,false
MA20.1,B,1,2003-07-17,08:00:00,Zostera marina,2,0,0,0,0,8,true
MA20.1,B,3,2003-07-17,08:00:00,Zostera marina,100,204,0,0,7,29,false
MA20.1,B,4,2003-07-17,08:00:00,Zostera marina,80,356,0,0,2,20,false
MA20.1,B,5,2003-07-17,08:00:00,Zostera marina,95,248,0,0,7,32,true
MA20.1,B,6,2003-07-17,08:00:00,Zostera marina,100,216,0,0,7,22,true
MA20.1,B,7,2003-07-17,08:00:00,Zostera marina,100,104,0,0,13,25,false
MA20.1,B,8,2003-07-17,08:00:00,Zostera marina,95,236,0,0,0,23,false
MA20.1,B,9,2003-07-17,08:00:00,Zostera marina,90,264,0,0,7,22,false
MA20.1,B,10,2003-07-17,08:00:00,Zostera marina,70,224,0,0,4,16,false
MA20.1,B,11,2003-07-17,08:00:00,Zostera marina,75,196,0,0,1,23,true
MA20.1,B,12,2003-07-17,08:00:00,Zostera marina,90,236,0,0,9,20,false
MA20.1,A,1,2003-10-28,06:50:00,Zostera marina,100,192,0,0,5,62,false
MA20.1,A,2,2003-10-28,06:50:00,Zostera marina,100,176,0,0,9,50,false
MA20.1,A,3,2003-10-28,06:50:00,Zostera marina,100,220,0,0,8,58,false
MA20.1,A,4,2003-10-28,06:50:00,Zostera marina,90,148,0,0,6,58,false
MA20.1,A,5,2003-10-28,06:50:00,Zostera marina,100,124,0,0,9,56,false
MA20.1,A,6,2003-10-28,06:50:00,Zostera marina,80,216,0,0,3,56,false
MA20.1,A,8,2003-10-28,06:50:00,Zostera marina,100,224,0,0,9,42,false
MA20.1,A,9,2003-10-28,06:50:00,Zostera marina,100,252,0,0,13,42,false
MA20.1,A,10,2003-10-28,06:50:00,Zostera marina,100,252,0,0,9,34,false
