site_code,transect_name,quadrat_number,observation_date,observation_time,scientific_name,percent_cover,shoot_density,flower_count,fruit_count,shoot_count,canopy_height_cm,grazing_evidence
MD12.2,A,1,2009-06-24,11:45:00,Ruppia maritima,0,0,0,0,5,10,false
MD12.2,A,2,2009-06-24,11:45:00,Ruppia maritima,3,0,0,0,11,9,false
MD12.2,A,3,2009-06-24,11:45:00,Ruppia maritima,29,0,0,0,9,7,false
MD12.2,A,4,2009-06-24,11:45:00,Ruppia maritima,25,0,0,0,39,8,false
MD12.2,A,5,2009-06-24,11:45:00,Ruppia maritima,40,0,0,0,57,11,false
MD12.2,A,6,2009-06-24,11:45:00,Ruppia maritima,35,0,0,0,14,7,false
MD12.2,A,7,2009-06-24,11:45:00,Ruppia maritima,85,0,0,0,15,9,false
MD12.2,A,8,2009-06-24,11:45:00,Ruppia maritima,65,0,0,0,9,9,false
MD12.2,A,9,2009-06-24,11:45:00,Ruppia maritima,1,0,0,0,20,11,false
MD12.2,A,10,2009-06-24,11:45:00,Ruppia maritima,1,0,0,0,11,11,false
MD12.2,A,11,2009-06-24,11:45:00,Ruppia maritima,0,0,0,0,6,13,false
MD12.2,A,1,2009-06-24,11:45:00,Zostera marina,10,18,0,0,3,10,false
MD12.2,A,2,2009-06-24,11:45:00,Zostera marina,2,7,0,0,3,9,false
MD12.2,A,3,2009-06-24,11:45:00,Zostera marina,1,3,0,0,3,7,false
MD12.2,A,5,2009-06-24,11:45:00,Zostera marina,40,64,0,0,0,11,false
MD12.2,A,6,2009-06-24,11:45:00,Zostera marina,1,8,0,0,0,7,false
MD12.2,A,7,2009-06-24,11:45:00,Zostera marina,5,20,0,0,4,9,false
MD12.2,A,8,2009-06-24,11:45:00,Zostera marina,10,21,0,0,7,9,false
MD12.2,A,9,2009-06-24,11:45:00,Zostera marina,5,16,0,0,0,11,false
MD12.2,A,10,2009-06-24,11:45:00,Zostera marina,59,120,0,0,3,11,false
MD12.2,A,11,2009-06-24,11:45:00,Zostera marina,30,60,0,0,7,13,false
MD12.2,A,12,2009-06-24,11:45:00,Zostera marina,80,160,0,0,8,12,false
MD12.2,B,2,2009-06-24,10:30:00,Ruppia maritima,0,0,0,0,2,21,false
MD12.2,B,7,2009-06-24,10:30:00,Ruppia maritima,5,0,0,0,8,20,false
MD12.2,B,1,2009-06-24,10:30:00,Zostera marina,90,128,0,0,7,26,false
